Structure type,Structure title,Operation,Status,Details,Source structure URL,Destination structure URL,Source structure ID,Destination structure ID,Time stamp
"Feature","WikiPageHomePage","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","00bfea71-d8fe-4fec-8dad-01c19a6e4053","","2018-10-26 16:59:52"
"Feature","WebPageLibrary","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","00bfea71-c796-4402-9f2f-0eb9a6e71b18","",""
"Feature","BizAppsListTemplates","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","065c78be-5231-477e-a972-14177cc5b3c7","","2018-10-26 16:59:52"
"Feature","IssuesList","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","00bfea71-5932-4f9c-ad71-1557e5751100","",""
"Feature","PremiumWeb","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","0806d127-06e6-447a-980e-2e90b03101b8","","2018-10-26 16:59:52"
"Feature","WorkflowHistoryList","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","00bfea71-4ea5-48d4-a4ad-305cf7030140","",""
"Feature","ReportListTemplate","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","2510d73f-7109-4ccc-8a1c-314894deeb3a","","2018-10-26 16:59:52"
"Feature","MBrowserRedirect","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","d95c97f3-e528-4da2-ae9f-32b3535fbb59","","2018-10-26 16:59:52"
"Feature","PromotedLinks","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","192efa95-e50c-475e-87ab-361cede5dd7f","",""
"Feature","NoCodeWorkflowLibrary","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","00bfea71-f600-43f6-a895-40c0de7b0117","",""
"Feature","FollowingContent","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","a7a2793e-67cd-4dc1-9fd0-43f61581207a","",""
"Feature","SurveysList","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","00bfea71-eb8a-40b1-80c7-506be7590102","",""
"Feature","GridList","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","00bfea71-3a1d-41d3-a0ee-651d11570120","",""
"Feature","GanttTasksList","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","00bfea71-513d-4ca0-96c2-6a47775c0119","",""
