Source,Destination,Item name,Extension,Item size,Content type,Status,Result category,Message,Source item ID,Destination item ID,Package number,Migration job ID,Incremental round,Task ID,Device name
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\sticky_read_locked.png","/phpBB3/styles/Relief/imageset/sticky_read_locked.png","sticky_read_locked.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","512c3d8e-5f43-5ac7-84da-288c4dca17d0","512c3d8e-5f43-5ac7-84da-288c4dca17d0","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\sticky_read_locked_mine.png","/phpBB3/styles/Relief/imageset/sticky_read_locked_mine.png","sticky_read_locked_mine.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","be320e68-c069-5693-b649-265a09957f5a","be320e68-c069-5693-b649-265a09957f5a","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\sticky_read_mine.png","/phpBB3/styles/Relief/imageset/sticky_read_mine.png","sticky_read_mine.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","f4a898dc-3614-52fd-aaaf-734dcff7d168","f4a898dc-3614-52fd-aaaf-734dcff7d168","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\sticky_unread.png","/phpBB3/styles/Relief/imageset/sticky_unread.png","sticky_unread.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","95da401f-57ca-5a48-8e32-3cd62e32333c","95da401f-57ca-5a48-8e32-3cd62e32333c","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\sticky_unread_locked.png","/phpBB3/styles/Relief/imageset/sticky_unread_locked.png","sticky_unread_locked.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","35111b25-39e7-5bde-8ba4-300a08f18638","35111b25-39e7-5bde-8ba4-300a08f18638","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\sticky_unread_locked_mine.png","/phpBB3/styles/Relief/imageset/sticky_unread_locked_mine.png","sticky_unread_locked_mine.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","b58ee307-08d4-5324-8c03-4c6417e910ae","b58ee307-08d4-5324-8c03-4c6417e910ae","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\sticky_unread_mine.png","/phpBB3/styles/Relief/imageset/sticky_unread_mine.png","sticky_unread_mine.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","37a244e7-0f86-5834-8fa6-46d85e0f7e48","37a244e7-0f86-5834-8fa6-46d85e0f7e48","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\subforum_read.gif","/phpBB3/styles/Relief/imageset/subforum_read.gif","subforum_read.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","01a7cfa4-a95c-5511-8bd3-eaa086df14a8","01a7cfa4-a95c-5511-8bd3-eaa086df14a8","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\subforum_unread.gif","/phpBB3/styles/Relief/imageset/subforum_unread.gif","subforum_unread.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","951bbc14-89c8-584a-8ed0-fa28b76b2d9f","951bbc14-89c8-584a-8ed0-fa28b76b2d9f","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\topic_moved.png","/phpBB3/styles/Relief/imageset/topic_moved.png","topic_moved.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","ab060aec-1a39-505d-ad60-f1120470627c","ab060aec-1a39-505d-ad60-f1120470627c","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\topic_read.png","/phpBB3/styles/Relief/imageset/topic_read.png","topic_read.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","853694d7-f83c-5a92-b69d-643e5b373904","853694d7-f83c-5a92-b69d-643e5b373904","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\topic_read_hot.png","/phpBB3/styles/Relief/imageset/topic_read_hot.png","topic_read_hot.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","6a164e57-dc2c-53a2-a859-8d87aaa59055","6a164e57-dc2c-53a2-a859-8d87aaa59055","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\topic_read_hot_mine.png","/phpBB3/styles/Relief/imageset/topic_read_hot_mine.png","topic_read_hot_mine.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","10e08ba0-d0ee-532c-b317-3d77bd9a4a74","10e08ba0-d0ee-532c-b317-3d77bd9a4a74","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\topic_read_locked.png","/phpBB3/styles/Relief/imageset/topic_read_locked.png","topic_read_locked.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","df2d382c-37cc-5743-ae38-0d06f2c5537a","df2d382c-37cc-5743-ae38-0d06f2c5537a","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\topic_read_locked_mine.png","/phpBB3/styles/Relief/imageset/topic_read_locked_mine.png","topic_read_locked_mine.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","b3bdde3c-33a6-5ec1-87ea-a8a6a84ef0dd","b3bdde3c-33a6-5ec1-87ea-a8a6a84ef0dd","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\topic_read_mine.png","/phpBB3/styles/Relief/imageset/topic_read_mine.png","topic_read_mine.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","07bad6aa-45c0-5aa9-8244-1eb387346add","07bad6aa-45c0-5aa9-8244-1eb387346add","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\topic_unread.png","/phpBB3/styles/Relief/imageset/topic_unread.png","topic_unread.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","bbe36be2-0b0c-5c37-8ad6-01223f7756be","bbe36be2-0b0c-5c37-8ad6-01223f7756be","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
